feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10,label
0.000000,0.447893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797590,0.184481,2.345505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586965,0.000000,0.000000,0.000000,0.000000,-0.086257,-1.447604,0.107265,6.324778,-0.886520,1.796297,-1.930573,-0.988727,0.154343,-3.434947,3.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.433372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.275487,-2.815572,-3.113092,-7.372823,2.205734,-6.591548,-5.277542,1.570994,-3.272635,18.000015,9.000000
0.000000,0.026039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.585782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.094824,15.827564,-6.914968,-1.855042,-12.101721,-1.417935,3.376822,8.301053,-9.798494,-0.466302,1.000000
0.000000,3.805614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.106329,0.000000,0.000000,0.000000,0.000000,0.000000,0.795113,0.000000,0.000000,0.000000,3.364586,0.133998,1.929102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.062484,0.000000,0.000000,0.000000,0.000000,0.745526,-5.210209,-2.789610,0.483465,2.520263,10.257723,-4.854426,-0.066432,3.175845,-5.375256,5.000000
0.000000,2.041574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.260181,0.000000,0.000000,0.000000,0.000000,0.000000,4.555936,0.000000,0.000000,0.000000,0.000000,1.081302,5.075725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.620479,0.000000,0.000000,0.000000,0.000000,15.701744,1.875082,-1.584399,2.236598,-2.608571,-2.005379,-4.047077,3.124401,-15.638456,1.308842,0.000000
0.000000,0.874682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.231764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.738638,6.677948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.919411,-4.135739,2.715312,16.081072,1.083407,0.477149,-0.560377,-3.880238,-7.819060,-11.628568,3.000000
0.000000,5.863921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.746522,0.000000,0.000000,0.000000,0.000000,0.000000,1.135287,0.000000,0.000000,0.000000,3.456695,0.000000,0.525080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.030734,0.000000,0.000000,0.000000,0.000000,1.186411,-3.749331,-2.938996,-5.896051,0.915118,15.165658,-4.537305,0.472297,1.917594,-4.026312,5.000000
0.000000,0.583612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476480,0.000000,0.000000,0.000000,0.000000,0.000000,1.203300,0.000000,0.000000,0.000000,0.000000,4.617047,1.991851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.086195,0.000000,0.000000,0.000000,0.000000,-0.899923,-11.307941,19.768448,-2.148503,0.423901,0.859575,5.681309,1.834350,-8.691919,-6.571747,2.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.946920,0.000000,0.000000,0.000000,0.000000,0.000000,3.215569,0.000000,0.000000,0.000000,7.452242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.123937,0.000000,0.000000,0.000000,0.000000,2.259142,3.201140,-7.774616,-11.680913,-3.135813,0.164892,-8.010406,20.359549,2.460414,0.056609,7.000000
0.000000,0.205275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.415130,0.000000,0.000000,0.000000,0.327889,2.496705,1.843769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.876963,0.000000,0.000000,0.000000,0.000000,-0.817799,-8.684038,14.116759,-0.836090,-0.287147,0.615535,0.500578,1.547202,-4.391961,-2.592428,2.000000
